Year,Name,Event,Round,Scores
2018,O. Wright,Quiksilver Pro Gold Coast,Round 1,"['3.33', '0.93', '5.83', '4.07', '0.33']"
2018,C. Ibelli,Quiksilver Pro Gold Coast,Round 1,"['0.43', '4.77', '\xa0', '\xa0', '\xa0']"
2018,E. Lau,Quiksilver Pro Gold Coast,Round 1,"['1.17', '2.93', '4.57', '0.00 1', '0.00 2']"
2018,M. Bourez,Quiksilver Pro Gold Coast,Round 1,"['4.33', '4.27', '6.17', '7.00', '0.37', '4.43']"
2018,M. Rodrigues,Quiksilver Pro Gold Coast,Round 1,"['0.30', '0.37', '2.50', '5.53', '5.73', '0.50']"
2018,M. Wilkinson,Quiksilver Pro Gold Coast,Round 1,"['5.50', '5.17', '0.93', '2.07', '4.17', '\xa0']"
2018,J. Smith,Quiksilver Pro Gold Coast,Round 1,"['3.67', '1.17', '3.37', '0.83', '4.83', '6.83', '4.33']"
2018,C. Coffin,Quiksilver Pro Gold Coast,Round 1,"['2.77', '1.83', '0.60', '0.33', '2.67', '7.33', '0.80']"
2018,P. Gudauskas,Quiksilver Pro Gold Coast,Round 1,"['2.33', '2.57', '0.37', '3.47', '4.17', '\xa0', '\xa0']"
2018,J. Wilson,Quiksilver Pro Gold Coast,Round 1,"['3.17', '0.50', '0.37', '1.20', '2.83', '7.83', '4.77']"
2018,J. Duru,Quiksilver Pro Gold Coast,Round 1,"['3.67', '0.50', '4.03', '2.87', '7.27', '1.50', '3.77']"
2018,I. Gouveia,Quiksilver Pro Gold Coast,Round 1,"['0.37', '2.67', '3.10', '0.57', '2.77', '4.17', 'TBD']"
2018,I. Ferreira,Quiksilver Pro Gold Coast,Round 1,"['7.33', '0.50', '4.00', '0.77', '6.93']"
2018,L. Fioravanti,Quiksilver Pro Gold Coast,Round 1,"['0.60', '5.77', '2.67', '0.50', '0.83']"
2018,G. Medina,Quiksilver Pro Gold Coast,Round 1,"['0.00 1', '4.50', '1.55 2', '\xa0', '\xa0']"
2018,G. Colapinto,Quiksilver Pro Gold Coast,Round 1,"['7.67', '4.83', '1.50', '0.30']"
2018,J. Florence,Quiksilver Pro Gold Coast,Round 1,"['1.00', '1.40', '3.33', '4.17']"
2018,M. Wright,Quiksilver Pro Gold Coast,Round 1,"['0.17', '0.50', '0.80', '1.20']"
2018,K. Andino,Quiksilver Pro Gold Coast,Round 1,"['1.27', '0.50', '6.33', '1.87', '2.40', '3.30', '\xa0']"
2018,K. Asing,Quiksilver Pro Gold Coast,Round 1,"['1.87', '0.50', '3.50', '0.70', '0.37', '4.33', '\xa0']"
2018,K. Igarashi,Quiksilver Pro Gold Coast,Round 1,"['2.83', '1.73', '2.07', '0.23', '2.77', '1.17', '1.43']"
2018,A. Buchan,Quiksilver Pro Gold Coast,Round 1,"['5.50', '1.87', '0.63', '0.50', '0.80', '0.43', '4.80', '\xa0']"
2018,A. de Souza,Quiksilver Pro Gold Coast,Round 1,"['4.00', '4.67', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2018,W. Cardoso,Quiksilver Pro Gold Coast,Round 1,"['2.83', '1.37', '0.77', '1.30', '3.77', '2.27', '4.30', '2.73']"
2018,J. Flores,Quiksilver Pro Gold Coast,Round 1,"['5.67', '0.93', '6.57', '0.43', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2018,J. Parkinson,Quiksilver Pro Gold Coast,Round 1,"['2.83', '1.07', '0.73', '4.67', '1.50', '3.03', '0.57', '1.47', '2.90', '5.27']"
2018,Y. Dora,Quiksilver Pro Gold Coast,Round 1,"['3.33', '0.80', '3.53', '2.33', '0.37', '3.13', '\xa0', '\xa0', '\xa0', '\xa0']"
2018,F. Toledo,Quiksilver Pro Gold Coast,Round 1,"['7.33', '0.70', '2.10', '2.63', '0.43', '8.23', '0.30']"
2018,F. Morais,Quiksilver Pro Gold Coast,Round 1,"['4.67', '4.33', '1.67', '\xa0', '\xa0', '\xa0', '\xa0']"
2018,T. Hermes,Quiksilver Pro Gold Coast,Round 1,"['0.77', '0.50', '2.50', '3.00', '1.00', '\xa0', '\xa0']"
2018,C. O'Leary,Quiksilver Pro Gold Coast,Round 1,"['6.83', '0.30', '2.87', '6.33', '3.13', '1.60', '\xa0', '\xa0', '\xa0']"
2018,W. Carmichael,Quiksilver Pro Gold Coast,Round 1,"['0.57', '3.50', '3.43', '4.13', '3.30', '0.43', '\xa0', '\xa0', '\xa0']"
2018,S. Zietz,Quiksilver Pro Gold Coast,Round 1,"['0.80', '0.33', '0.30', '2.10', '2.13', '5.33', '0.40', '0.43', '2.03']"
2018,M. Fanning,Quiksilver Pro Gold Coast,Round 1,"['5.83', '5.77', '0.27', '4.00', '0.77', '1.17', '4.43']"
2018,J. Mendes,Quiksilver Pro Gold Coast,Round 1,"['0.50', '5.30', '2.93', '4.50', '0.50', '\xa0', '\xa0']"
2018,K. Slater,Quiksilver Pro Gold Coast,Round 1,"['\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2018,M. Wright,Quiksilver Pro Gold Coast,Round 2,"['7.83', '7.27', '\xa0', '\xa0']"
2018,J. Florence,Quiksilver Pro Gold Coast,Round 2,"['5.83', '0.63', '4.00', '4.93']"
2018,G. Medina,Quiksilver Pro Gold Coast,Round 2,"['5.17', '2.50', '6.00', '3.77', '0.37', '5.77', '7.00']"
2018,L. Fioravanti,Quiksilver Pro Gold Coast,Round 2,"['1.40', '2.90', '3.77', '1.50', '3.43', '4.13', '1.57']"
2018,M. February,Quiksilver Pro Gold Coast,Round 2,"['3.40', '0.30', '5.03', '6.00', '0.23', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2018,M. Wilkinson,Quiksilver Pro Gold Coast,Round 2,"['3.00', '0.17', '2.57', '5.00', '2.60', '3.63', '0.50', '0.30', '1.43', '3.97']"
2018,A. de Souza,Quiksilver Pro Gold Coast,Round 2,"['4.83', '0.30', '0.67', '1.60', '5.57', '4.03', '5.83', '3.40', '0.67', '3.23', '2.70', '1.50', '0.50']"
